"player_id","full_name","birth_date","birth_country","birth_city","height","bat_side","pitch_hand","primary_position","mlb_debut_date","primary_number","current_age","loaded_at"
"663330","Jahmai Jones","1997-08-04","USA","Roswell","5' 10""","R","R","DH","2020-08-31","37","29","2026-08-07 23:53:24.050536"
"543243","Sonny Gray","1989-11-07","USA","Smyrna","5' 10""","R","R","P","2013-07-10","54","36","2026-08-07 23:53:24.050536"
"678882","Ceddanne Rafaela","2000-09-18","Curacao","Willemstad","5' 10""","R","R","CF","2023-08-28","3","25","2026-08-07 23:53:24.050536"
"677800","Wilyer Abreu","1999-06-24","Venezuela","Maracaibo","5' 10""","L","L","RF","2023-08-22","52","27","2026-08-07 23:53:24.050536"
"657136","Connor Wong","1996-05-19","USA","Houston","5' 10""","R","R","C","2021-06-22","12","30","2026-08-07 23:53:24.050536"
"668670","Jake Rogers","1995-04-18","USA","Canyon","5' 11""","R","R","C","2019-07-30","46","31","2026-08-07 23:53:24.050536"
"655316","Andruw Monasterio","1997-05-30","Venezuela","Caracas","5' 11""","R","R","SS","2023-05-28","32","29","2026-08-07 23:53:24.050536"
"665966","Carlos Narváez","1998-11-26","Venezuela","Maracay","5' 11""","R","R","C","2024-07-20","75","27","2026-08-07 23:53:24.050536"
"702332","Caleb Durbin","2000-02-22","USA","Lake Forest","5' 6""","R","R","3B","2025-04-18","5","26","2026-08-07 23:53:24.050536"
"807799","Masataka Yoshida","1993-07-15","Japan","Fukui","5' 8""","L","R","DH","2023-03-30","7","33","2026-08-07 23:53:24.050536"
"678011","Anthony Seigler","1999-06-20","USA","Fort Defiance","5' 9""","S","S","2B","2025-07-02","48","27","2026-08-07 23:53:24.050536"
"575929","Willson Contreras","1992-05-13","Venezuela","Puerto Cabello","6' 0""","R","R","1B","2016-06-17","40","34","2026-08-07 23:53:24.050536"
"680776","Jarren Duran","1996-09-05","USA","Corona","6' 0""","L","R","LF","2021-07-17","16","29","2026-08-07 23:53:24.050536"
"663853","Romy Gonzalez","1996-09-06","USA","Miami","6' 0""","R","R","DH","2021-09-03","23","29","2026-08-07 23:53:24.050536"
"678394","Brayan Bello","1999-05-17","Dominican Republic","Samana","6' 1""","R","R","P","2022-07-06","66","27","2026-08-07 23:53:24.050536"
"663558","Jovani Morán","1997-04-24","Puerto Rico","Mayaguez","6' 1""","L","L","P","2021-09-12","47","29","2026-08-07 23:53:24.050536"
"686765","Nick Sogard","1997-09-09","USA","Los Angeles","6' 1""","S","R","2B","2024-08-02","20","28","2026-08-07 23:53:24.050536"
"624133","Ranger Suarez","1995-08-26","Venezuela","Pie de Cuesta","6' 1""","L","L","P","2018-07-26","55","30","2026-08-07 23:53:24.050536"
"642201","Eli White","1994-06-26","USA","Greenville","6' 2""","R","R","RF","2020-09-01","38","32","2026-08-07 23:53:24.050536"
"669711","Greg Weissert","1995-02-04","USA","Bay Shore","6' 2""","R","R","P","2022-08-25","57","31","2026-08-07 23:53:24.050536"
"663776","Patrick Sandoval","1996-10-18","USA","Mission Viejo","6' 3""","L","L","P","2019-08-05","43","29","2026-08-07 23:53:24.050536"
"686580","Justin Slaten","1997-09-15","USA","Longview","6' 4""","R","R","P","2024-03-30","63","28","2026-08-07 23:53:24.050536"
"547973","Aroldis Chapman","1988-02-28","Cuba","Holguin","6' 4""","L","L","P","2010-08-31","44","38","2026-08-07 23:53:24.050536"
"669062","Erik Miller","1998-02-13","USA","St. Louis","6' 5""","L","L","P","2024-03-28","67","28","2026-08-07 23:53:24.050536"
"676477","Garrett Whitlock","1996-06-11","USA","Snellville","6' 5""","R","R","P","2021-04-04","22","30","2026-08-07 23:53:24.050536"
"670245","Ryan Watson","1997-11-15","USA","Auburn","6' 5""","R","R","P","2026-03-28","","28","2026-08-07 23:53:24.050536"
"687562","Jake Bennett","2000-12-02","USA","Tulsa","6' 6""","L","L","P","2026-05-01","64","25","2026-08-07 23:53:24.050536"
"801139","Payton Tolle","2002-11-01","USA","Stillwater","6' 6""","L","L","P","2025-08-29","70","23","2026-08-07 23:53:24.050536"
"594027","Tyron Guerrero","1991-01-09","Colombia","Bocachica","6' 8""","R","R","P","2016-05-17","41","35","2026-08-07 23:53:24.050536"
